id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_odoo16_database_manager,Odoo16 Database Manager,model_odoo16_database,base.group_system,1,1,1,1
access_odoo16_database_user,Odoo16 Database User,model_odoo16_database,base.group_user,1,0,0,0
fitcrew_sports_clinic_16c_to_18e.access_odoo16_database_base,access_odoo16_database_base,fitcrew_sports_clinic_16c_to_18e.model_odoo16_database_base,base.group_user,1,1,1,0
fitcrew_sports_clinic_16c_to_18e.access_migration_users_partners,access_migration_users_partners,fitcrew_sports_clinic_16c_to_18e.model_migration_users_partners,base.group_user,1,1,1,0
fitcrew_sports_clinic_16c_to_18e.access_migration_mail_system,access_migration_mail_system,fitcrew_sports_clinic_16c_to_18e.model_migration_mail_system,base.group_user,1,1,1,0
fitcrew_sports_clinic_16c_to_18e.access_migration_calendar_events,access_migration_calendar_events,fitcrew_sports_clinic_16c_to_18e.model_migration_calendar_events,base.group_user,1,1,1,0
fitcrew_sports_clinic_16c_to_18e.access_migration_attachments,access_migration_attachments,fitcrew_sports_clinic_16c_to_18e.model_migration_attachments,base.group_user,1,1,1,0
fitcrew_sports_clinic_16c_to_18e.access_migration_ir_filters,access_migration_ir_filters,fitcrew_sports_clinic_16c_to_18e.model_migration_ir_filters,base.group_user,1,1,1,0
fitcrew_sports_clinic_16c_to_18e.access_migration_sports_teams,access_migration_sports_teams,fitcrew_sports_clinic_16c_to_18e.model_migration_sports_teams,base.group_user,1,1,1,0
fitcrew_sports_clinic_16c_to_18e.access_migration_sports_patients,access_migration_sports_patients,fitcrew_sports_clinic_16c_to_18e.model_migration_sports_patients,base.group_user,1,1,1,0
fitcrew_sports_clinic_16c_to_18e.access_migration_sports_injuries,access_migration_sports_injuries,fitcrew_sports_clinic_16c_to_18e.model_migration_sports_injuries,base.group_user,1,1,1,0
fitcrew_sports_clinic_16c_to_18e.access_migration_activities,access_migration_activities,fitcrew_sports_clinic_16c_to_18e.model_migration_activities,base.group_user,1,1,1,0
